trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_epochs,influence_tuning_lr,num_train_epochs,seed
qcxujsp8cg,2021-05-10 22:39:06.860718,2021-05-10 23:22:58.000000,2021-05-11 00:35:09.397252,COMPLETED,75416.742,,50,64,5,0.000003,20,2025
c5k3umaabq,2021-05-10 22:50:16.632937,2021-05-10 23:22:45.000000,2021-05-11 00:31:14.801307,COMPLETED,81458.808,,25,16,5,0.00001,10,2025
5x5mfn4eff,2021-05-10 22:07:10.431373,2021-05-10 22:07:33.000000,2021-05-11 00:26:02.932668,COMPLETED,73958.75,,25,64,5,0.000001,20,2023
fduhd7y9ka,2021-05-10 22:05:59.778600,2021-05-10 22:06:04.000000,2021-05-11 00:22:50.028588,COMPLETED,81458.794,,25,4,5,0.00001,20,2021
tp7jdx5m9s,2021-05-10 19:59:08.344406,2021-05-10 19:59:10.000000,2021-05-11 00:21:42.921940,COMPLETED,50000.5,,25,64,10,0.00003,20,2024
6ibag3vhad,2021-05-10 22:09:25.414855,2021-05-10 22:09:28.000000,2021-05-11 00:15:46.405464,COMPLETED,76666.76,,50,64,10,0.000003,20,2021
q8ybmn2vyi,2021-05-10 19:18:53.578302,2021-05-10 19:19:00.000000,2021-05-10 23:53:00.383819,COMPLETED,80000.774,,25,64,10,0.00001,20,2023
imznvw3ev6,2021-05-10 22:56:58.892996,2021-05-10 23:12:03.000000,2021-05-10 23:52:03.171931,COMPLETED,68958.712,,50,64,5,0.00001,10,2025
h3keia4v37,2021-05-10 21:35:39.604706,2021-05-10 21:35:50.000000,2021-05-10 23:50:10.296316,COMPLETED,71041.696,,25,16,5,0.000001,20,2022
pdxqu76da3,2021-05-10 21:16:34.047124,2021-05-10 21:16:35.000000,2021-05-10 23:34:11.696803,COMPLETED,79791.796,,25,4,5,0.00001,20,2023
znhpfgcd78,2021-05-10 22:16:20.924985,2021-05-10 22:16:31.000000,2021-05-10 23:23:51.930225,COMPLETED,77291.784,,50,4,10,0.000001,10,2021
7v7z8xjukf,2021-05-10 22:10:33.718963,2021-05-10 22:10:38.000000,2021-05-10 23:17:17.333409,COMPLETED,61041.608,,50,16,10,0.00003,10,2024
y4u5puzfeb,2021-05-10 22:07:11.676925,2021-05-10 22:07:24.000000,2021-05-10 23:16:48.552140,COMPLETED,81041.784,,50,4,10,0.000003,10,2024
