trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_instance_dropout,influence_tuning_lr,seed
rfwifay7rb,2021-05-13 00:25:47.992817,2021-05-13 00:25:53.000000,2021-05-13 00:37:03.062235,COMPLETED,69153.6886666667,,50,4,0.995,0.000003,2021
xuy7be63mj,2021-05-13 00:11:26.603803,2021-05-13 00:12:07.000000,2021-05-13 00:30:59.562829,COMPLETED,73746.7304666667,,25,4,0.995,0.00001,2021
n4edzg8pa6,2021-05-12 23:26:08.588334,2021-05-12 23:26:34.000000,2021-05-13 00:28:09.437805,COMPLETED,80413.8046,,25,4,0.98,0.000003,2022
z5agwtu573,2021-05-13 00:15:50.465394,2021-05-13 00:16:12.000000,2021-05-13 00:27:32.434456,COMPLETED,65820.6554,,50,16,0.995,0.000003,2025
nwth7ixuxy,2021-05-13 00:07:00.150918,2021-05-13 00:07:08.000000,2021-05-13 00:25:11.184409,COMPLETED,78413.7830666667,,25,4,0.995,0.000003,2024
9jkq6wtmi6,2021-05-12 21:20:20.325888,2021-05-13 00:11:50.000000,2021-05-13 00:23:17.725277,COMPLETED,66626.6696666667,,50,4,0.995,0.000003,2025
skrc5gewdv,2021-05-13 00:04:46.963942,2021-05-13 00:04:51.000000,2021-05-13 00:15:59.726625,COMPLETED,78833.7893333333,,50,64,0.995,0.00001,2022
jpxj2xtdt6,2021-05-13 00:03:40.369182,2021-05-13 00:03:59.000000,2021-05-13 00:15:22.331870,COMPLETED,98593.9844,,50,4,0.995,0.00003,2023
7vzuqecukv,2021-05-12 23:38:17.716304,2021-05-12 23:38:22.000000,2021-05-13 00:10:18.723964,COMPLETED,76966.7672,,50,16,0.98,0.00001,2021
mvptey4pr8,2021-05-12 23:51:33.829661,2021-05-12 23:51:42.000000,2021-05-13 00:09:54.701789,COMPLETED,82140.823,,25,64,0.995,0.00003,2024
ygz4bptubr,2021-05-12 23:54:51.884219,2021-05-12 23:55:18.000000,2021-05-13 00:06:22.713138,COMPLETED,65586.6475333333,,50,16,0.995,0.000003,2023
wtysnxkjzb,2021-05-12 23:47:09.813231,2021-05-12 23:47:28.000000,2021-05-13 00:05:23.811982,COMPLETED,89053.8899333333,,25,16,0.995,0.00003,2024
7k8rzt8ziw,2021-05-12 23:32:45.543651,2021-05-12 23:33:10.000000,2021-05-13 00:04:28.785222,COMPLETED,64106.6326,,50,16,0.98,0.000003,2023
h4n8fzvq6t,2021-05-12 23:44:54.089569,2021-05-12 23:45:07.000000,2021-05-13 00:03:15.253574,COMPLETED,72813.7250666667,,25,16,0.995,0.00001,2024
rybmwf33r9,2021-05-12 23:47:10.463809,2021-05-12 23:47:28.000000,2021-05-12 23:58:34.549842,COMPLETED,88660.8872,,50,16,0.995,0.00003,2022
9225ms25uf,2021-05-12 23:36:03.855975,2021-05-12 23:36:10.000000,2021-05-12 23:54:19.389272,COMPLETED,62800.6276666667,,25,64,0.995,0.000003,2025
g7ps8kni8k,2021-05-12 23:18:22.843776,2021-05-12 23:18:46.000000,2021-05-12 23:51:20.758778,COMPLETED,91753.9164,,50,4,0.98,0.00003,2022
urq52xgstq,2021-05-12 23:34:57.460962,2021-05-12 23:35:05.000000,2021-05-12 23:46:37.743049,COMPLETED,83186.8374666667,,50,4,0.995,0.00003,2022
7bkp3sn9hf,2021-05-12 21:45:41.928337,2021-05-12 23:14:14.000000,2021-05-12 23:46:27.864164,COMPLETED,73646.73,,50,64,0.98,0.00003,2021
743qkwwy5c,2021-05-12 23:32:44.639154,2021-05-12 23:33:10.000000,2021-05-12 23:44:16.983240,COMPLETED,85840.8579333333,,50,16,0.995,0.00001,2022
t9gs5y2akf,2021-05-12 19:47:36.196060,2021-05-12 22:43:06.000000,2021-05-12 23:43:52.475980,COMPLETED,69960.6973333333,,25,4,0.98,0.000003,2025
t4sgkub5z9,2021-05-12 22:57:20.625180,2021-05-12 23:18:54.000000,2021-05-12 23:37:32.799159,COMPLETED,68553.6847333333,,25,16,0.995,0.00003,2025
tgbq64rmcb,2021-05-12 23:17:16.150944,2021-05-12 23:17:32.000000,2021-05-12 23:35:36.362380,COMPLETED,70093.6934666667,,25,4,0.995,0.000003,2021
4wwuu6kfeh,2021-05-12 22:36:15.417438,2021-05-12 22:36:32.000000,2021-05-12 23:34:46.706589,COMPLETED,86006.8588,,25,16,0.98,0.00001,2023
